நூறு  100
இருநூறு    200
எரணூறு    200
முந்நூறு    300
நானூறு 400
ஐநூறு 500
அறுநூறு    600
எழுநூறு    700
எண்ணூறு    800
தொள்ளாயிரம்‌  900
